name,,Artist,Coder,Livery Artist
BFC6120,,taiqiji432292,EMB,taiqiji432292
BJ6105CHEVCG-1,,taiqiji432292,EMB,taiqiji432292
BJ6123SHEVCA-7,,taiqiji432292,EMB,taiqiji432292
BJ6160C6CCD,,taiqiji432292,EMB
BJ6160SHEVCA-3,,taiqiji432292,EMB,taiqiji432292
BJ6180C8CTD,,taiqiji432292,EMB,taiqiji432292
BJ6180EVCA-1,,taiqiji432292,EMB
BK640,,taiqiji432292,GUANGMING
BK651,,EMB,EMB
BK663,,taiqiji432292,EMB
BK670,,taiqiji432292,EMB
BYD6100LGEV9,,SL-1230,EMB
DD6140S01,,taiqiji432292,EMB
DD6141B01,,taiqiji432292,EMB
DD6141B02N,,taiqiji432292,EMB
DD6141S01,,taiqiji432292,EMB,taiqiji432292
DD6141S02,,Vasili Molozov .taiqiji432292,EMB,Vasili Molozov .taiqiji432292
DD6160S03,,taiqiji432292,EMB
DD6181S01,,taiqiji432292,EMB
GTQ6105BEVBT20,,taiqiji432292,GUANGMING
GTQ6121BEVBT3,,taiqiji432292,EMB,taiqiji432292
HFF6110GS1,,Vasili Molozov,EMB,Vasili Molozov
HFF6120GD,,EMB,EMB
JNP6127EA,,taiqiji432292,GUANGMING
JNP6127FEA,,taiqiji432292,EMB
JNP6181GVC,,EMB,GUANGMING
JS6108GHEV17,,Honkawa,EMB,Honkawa
JS6108GHEV21,,Honkawa,EMB
JS6108GHEVC,,Honkawa,EMB,Honkawa
JS6108GHEVC5,,Honkawa,EMB,Honkawa
JS6108GHEVC6,,Honkawa,EMB,Honkawa
JS6108GHEVC16,,Honkawa,EMB
JT663,,taiqiji432292,GUANGMING
KLQ6109QE4,,taiqiji432292,EMB,taiqiji432292
KLQ6112HQE31,,taiqiji432292,EMB
KLQ6112LDE41,,taiqiji432292,EMB
KLQ6115HTAE50,,taiqiji432292,EMB
KLQ6116ZGBEVN1,,taiqiji432292,EMB
KLQ6122BAE31,,taiqiji432292,EMB
KLQ6122BAE61,,taiqiji432292,EMB
KLQ6122KAE31,,taiqiji432292,EMB
KLQ6129GE4,,taiqiji432292,EMB,taiqiji432292
LCK6820HG,,JF,JF,taiqiji432292
Leyland Olympian,,taiqiji432292,EMB,taiqiji432292
RC421P,,taiqiji432292,EMB
SWB6120KHV-3,,EMB,EMB
SWB6120V4LE,,taiqiji432292,EMB,taiqiji432292
SWB6128V8LF,,taiqiji432292,EMB
TJ645B,,taiqiji432292,EMB
Volvo OLympian,,taiqiji432292,EMB,taiqiji432292
Volvo Super OLympian,,taiqiji432292,EMB,taiqiji432292
XML6102J15Y,,taiqiji432292,EMB
YBL6105HJ,,Honkawa,EMB
ZK6100HGA,,taiqiji432292,EMB,taiqiji432292
ZK6106BEVG4,,EMB,EMB,EMB
ZK6106CHEVPG1,,taiqiji432292,EMB,taiqiji432292
ZK6106CHEVPG2,,taiqiji432292,EMB,taiqiji432292
ZK6117BEVY33,,EMB,EMB,EMB
ZK6117H6Y1,,EMB,EMB,EMB
ZK6126BEVG3,,EMB,EMB,EMB
ZK6128H6QY1,,EMB,EMB,EMB
ZK6128H6QY6,,EMB,EMB,EMB
ZK6125CHEVNPG29,,taiqiji432292,GUANGMING
ZK6137H16QY1,,EMB,EMB,EMB
ZK6845BEVG1,,taiqiji432292,GUANGMING,taiqiji432292
ZK6856BEVG4,,EMB,EMB,EMB
ZK6856BEVG22L,,EMB,EMB,EMB
ZK6907H6Y,,EMB,EMB,EMB
ZK6907H6Y1,,EMB,EMB,EMB
